YEAR,AREA,GEAR,MONTH,SEX,LENGTH,FREQ,QUARTER,SOURCE
1997,610,91,11,1,60,1,4,ELMEJJATI
1997,610,91,11,2,62,1,4,ELMEJJATI
1997,610,91,11,1,63,3,4,ELMEJJATI
1997,610,91,11,2,65,1,4,ELMEJJATI
1997,610,91,11,1,66,1,4,ELMEJJATI
1997,610,91,11,2,66,3,4,ELMEJJATI
1997,610,91,11,1,67,4,4,ELMEJJATI
1997,610,91,11,2,68,1,4,ELMEJJATI
1997,610,91,11,1,70,1,4,ELMEJJATI
1997,610,91,11,2,71,1,4,ELMEJJATI
1997,610,91,11,2,84,1,4,ELMEJJATI
1997,610,91,11,2,88,1,4,ELMEJJATI
1997,610,91,11,2,92,1,4,ELMEJJATI
1997,610,91,11,2,93,1,4,ELMEJJATI
1997,620,91,4,2,43,1,2,ELMEJJATI
1997,620,91,4,2,45,1,2,ELMEJJATI
1997,620,91,4,2,47,1,2,ELMEJJATI
1997,620,91,4,1,48,3,2,ELMEJJATI
1997,620,91,4,2,48,1,2,ELMEJJATI
1997,620,91,4,1,49,1,2,ELMEJJATI
1997,620,91,4,1,51,3,2,ELMEJJATI
1997,620,91,4,1,52,3,2,ELMEJJATI
1997,620,91,4,2,52,1,2,ELMEJJATI
1997,620,91,4,1,53,2,2,ELMEJJATI
1997,620,91,4,1,54,3,2,ELMEJJATI
1997,620,91,4,1,55,3,2,ELMEJJATI
1997,620,91,4,2,55,2,2,ELMEJJATI
1997,620,91,4,1,56,3,2,ELMEJJATI
1997,620,91,4,2,56,5,2,ELMEJJATI
1997,620,91,4,1,57,4,2,ELMEJJATI
1997,620,91,4,1,58,1,2,ELMEJJATI
1997,620,91,4,2,58,1,2,ELMEJJATI
1997,620,91,4,1,59,7,2,ELMEJJATI
1997,620,91,4,2,59,2,2,ELMEJJATI
1997,620,91,4,1,60,2,2,ELMEJJATI
1997,620,91,4,2,60,3,2,ELMEJJATI
1997,620,91,4,1,61,3,2,ELMEJJATI
1997,620,91,4,2,61,5,2,ELMEJJATI
1997,620,91,4,1,62,6,2,ELMEJJATI
1997,620,91,4,2,62,2,2,ELMEJJATI
1997,620,91,4,1,63,3,2,ELMEJJATI
1997,620,91,4,2,63,3,2,ELMEJJATI
1997,620,91,4,1,64,6,2,ELMEJJATI
1997,620,91,4,2,64,5,2,ELMEJJATI
1997,620,91,4,1,65,16,2,ELMEJJATI
1997,620,91,4,2,65,13,2,ELMEJJATI
1997,620,91,4,1,66,13,2,ELMEJJATI
1997,620,91,4,2,66,8,2,ELMEJJATI
1997,620,91,4,1,67,5,2,ELMEJJATI
1997,620,91,4,2,67,4,2,ELMEJJATI
1997,620,91,4,1,68,9,2,ELMEJJATI
1997,620,91,4,2,68,5,2,ELMEJJATI
1997,620,91,4,1,69,8,2,ELMEJJATI
1997,620,91,4,2,69,8,2,ELMEJJATI
1997,620,91,4,1,70,11,2,ELMEJJATI
1997,620,91,4,2,70,8,2,ELMEJJATI
1997,620,91,4,1,71,2,2,ELMEJJATI
1997,620,91,4,2,71,11,2,ELMEJJATI
1997,620,91,4,1,72,4,2,ELMEJJATI
1997,620,91,4,2,72,6,2,ELMEJJATI
1997,620,91,4,1,73,8,2,ELMEJJATI
1997,620,91,4,2,73,14,2,ELMEJJATI
1997,620,91,4,1,74,4,2,ELMEJJATI
1997,620,91,4,2,74,12,2,ELMEJJATI
1997,620,91,4,1,75,9,2,ELMEJJATI
1997,620,91,4,2,75,12,2,ELMEJJATI
1997,620,91,4,2,76,8,2,ELMEJJATI
1997,620,91,4,1,77,5,2,ELMEJJATI
1997,620,91,4,2,77,3,2,ELMEJJATI
1997,620,91,4,1,78,5,2,ELMEJJATI
1997,620,91,4,2,78,2,2,ELMEJJATI
1997,620,91,4,2,79,5,2,ELMEJJATI
1997,620,91,4,1,80,1,2,ELMEJJATI
1997,620,91,4,2,80,2,2,ELMEJJATI
1997,620,91,4,1,81,1,2,ELMEJJATI
1997,620,91,4,2,81,1,2,ELMEJJATI
1997,620,91,4,2,82,2,2,ELMEJJATI
1997,620,91,4,1,83,2,2,ELMEJJATI
1997,620,91,4,2,83,2,2,ELMEJJATI
1997,620,91,4,2,85,1,2,ELMEJJATI
1997,620,91,4,2,87,1,2,ELMEJJATI
1997,620,91,4,2,88,2,2,ELMEJJATI
1997,620,91,4,2,90,1,2,ELMEJJATI
1997,620,91,4,2,91,1,2,ELMEJJATI
1997,620,91,4,2,94,1,2,ELMEJJATI
1997,620,91,4,2,98,1,2,ELMEJJATI
1997,620,91,5,2,43,1,2,ELMEJJATI
1997,620,91,5,2,48,1,2,ELMEJJATI
1997,620,91,5,1,50,1,2,ELMEJJATI
1997,620,91,5,1,52,1,2,ELMEJJATI
1997,620,91,5,2,52,1,2,ELMEJJATI
1997,620,91,5,2,54,1,2,ELMEJJATI
1997,620,91,5,1,55,2,2,ELMEJJATI
1997,620,91,5,2,55,1,2,ELMEJJATI
1997,620,91,5,1,56,2,2,ELMEJJATI
1997,620,91,5,2,56,4,2,ELMEJJATI
1997,620,91,5,1,57,1,2,ELMEJJATI
1997,620,91,5,2,57,1,2,ELMEJJATI
1997,620,91,5,1,58,1,2,ELMEJJATI
1997,620,91,5,1,59,3,2,ELMEJJATI
1997,620,91,5,2,59,3,2,ELMEJJATI
